101.1.44.80	AutoEverSystems Corp.
12.130.90.198	Keynote
12.144.232.120	DANAHER CORPORATION CO
12.144.232.84	DANAHER CORPORATION CO
123.123.123.123	China Unicom
12.35.161.230	TANDBERG
128.11.183.68	Computer Sciences Corporation
128.165.129.54	Los Alamos National Laboratory
128.171.104.33	University of Hawaii
130.156.64.96	New Jersey Higher Education Network
130.156.64.97	New Jersey Higher Education Network
130.60.48.170	RIPE Network Coordination Centre
130.94.93.139	NTT America, Inc.
132.233.247.4	Intel Corporation
132.233.247.6	Intel Corporation
134.252.43.23	Sandia National Laboratories
135.148.17.100	Avaya Inc.
135.64.3.10	Avaya Inc.
135.9.46.24	Avaya Inc.
136.167.90.63	Boston College
137.20.225.192	Public Service Electric and Gas Company
138.120.105.137	Various Registries (Maintained by ARIN)
139.87.49.99	3Com Corporation
140.107.52.127	The Fred Hutchinson Cancer Research Center
143.101.230.158	NEC USA, Inc.
143.127.8.50	Symantec Corporation
143.182.246.21	Intel Corporation
143.182.246.27	Intel Corporation
146.145.120.3	Dynamic Decisions
148.228.134.13	Benemerita Universidad Autonoma de Puebla
148.228.146.120	Benemerita Universidad Autonoma de Puebla
148.228.146.95	Benemerita Universidad Autonoma de Puebla
148.228.148.56	Benemerita Universidad Autonoma de Puebla
148.228.162.105	Benemerita Universidad Autonoma de Puebla
148.228.20.34	Benemerita Universidad Autonoma de Puebla
148.228.203.70	Benemerita Universidad Autonoma de Puebla
148.228.215.32	Benemerita Universidad Autonoma de Puebla
149.156.212.166	RIPE Network Coordination Centre
149.156.40.252	RIPE Network Coordination Centre
149.68.13.102	St. John's University, New York
151.104.104.229	Chipcom
151.104.104.57	Chipcom
151.164.60.61	AT&T Internet Services
151.201.33.111	Verizon Online LLC
151.25.154.38	WIND Telecomunicazioni S.p.A
151.42.208.7	WIND Telecomunicazioni S.p.A
152.67.119.22	3Com Corporation
157.56.114.89	Microsoft Corporation
158.103.0.2	Morgan State University
158.140.115.233	Cadence Design Systems, Inc.
159.148.95.76	RIPE Network Coordination Centre
160.69.1.30	PACCAR, Inc.
161.114.22.105	Hewlett-Packard Company
161.114.22.111	Hewlett-Packard Company
162.66.195.51	UBS AG
163.27.115.66	TANET
165.218.65.34	RIPE Network Coordination Centre
170.199.171.122	Janus Capital Group Inc
172.180.11.154	America Online
172.193.125.64	America Online
172.203.101.120	America Online
192.151.52.41	Hewlett-Packard Company
192.154.128.103	Monmouth University
192.154.128.117	Monmouth University
192.154.128.99	Monmouth University
192.154.129.80	Monmouth University
192.162.0.90	Mobile TeleSystems
192.18.97.105	Sun Microsystems, Inc
192.18.97.107	Sun Microsystems, Inc
192.18.97.149	Sun Microsystems, Inc
192.18.97.151	Sun Microsystems, Inc
192.81.184.197	Nurminen Logistics Oyj
193.121.55.225	Belgian Broadcasting Company
193.124.3.125	Relcom
193.178.224.76	UPC Romania SRL
193.193.226.73	ASTEL (Kazakhstan)
193.231.140.72	Romanian Education Network NOC
193.27.251.37	Matchwork World Wide A/S
194.114.32.46	Volkswagen AG
194.145.249.110	PeRiQuito AB
194.95.224.201	DFN Verein Berlin
195.116.34.19	Sieci Blokowe
195.117.38.104	Telekomunikacja Polska S.A.
195.136.61.109	Exatel S.A.
195.136.61.154	Exatel S.A.
195.136.61.186	Exatel S.A.
195.136.61.37	Exatel S.A.
195.136.67.125	Exatel S.A.
195.136.67.143	Exatel S.A.
195.136.67.194	Exatel S.A.
195.136.67.21	Exatel S.A.
195.136.67.22	Exatel S.A.
195.136.67.238	Exatel S.A.
195.136.67.239	Exatel S.A.
195.136.67.241	Exatel S.A.
195.136.67.30	Exatel S.A.
195.136.67.65	Exatel S.A.
195.14.32.194	Corbina Telecom
195.14.43.118	Corbina Telecom
195.14.57.234	Corbina Telecom
195.161.119.247	E-House Ltd
195.194.178.154	University of Derby
195.205.222.66	Telekomunikacja Polska S.A.
195.224.182.167	Daisy Communications
195.245.13.37	sdt.net AG
195.82.4.117	Nursat_Dial
195.82.4.75	Nursat_Dial
19.59.126.54	Ford Motor Company
195.96.170.29	Rosnet
195.96.170.43	Rosnet
198.104.142.50	NTT America, Inc.
198.104.158.238	NTT America, Inc.
198.144.198.80	Raw Bandwidth Communications, Inc.
198.162.209.1	West Fraser Mills Ltd.
198.182.235.13	Quios
198.182.235.33	Quios
198.182.235.35	Quios
198.233.82.69	IPNetZone
198.59.191.29	Carlsbad Municipal Schools
198.64.135.71	NTT America, Inc.
198.65.100.85	NTT America, Inc.
199.212.138.3	Public Service Alliance of Canada
200.140.171.10	Brasil Telecom S. A.
200.163.77.226	Brasil Telecom S. A.
200.164.114.130	Telemar Norte Leste S.A.
200.188.219.106	Directnet Prestacao de Servicos Ltda.
200.30.111.238	COLOMBIA TELECOMUNICACIONES S.A. ESP
200.32.64.50	Instituto Nacional de Cooperaci?n Educativa
200.65.222.194	Uninet S.A. de C.V.
200.66.98.164	Corporativo en Telecomunicaciones, SA de CV.
201.10.75.30	Brasil Telecom S. A.
201.139.199.140	GSAT COMUNICACIONES SA DE CV
201.141.61.143	Cablevisi?n, S.A. de C.V.
201.141.64.153	Cablevisi?n, S.A. de C.V.
201.141.8.88	Cablevisi?n, S.A. de C.V.
201.6.254.158	NET Servi?os de Comunica??o S.A.
201.6.57.132	NET Servi?os de Comunica??o S.A.
201.6.93.100	NET Servi?os de Comunica??o S.A.
201.9.220.141	Telemar Norte Leste S.A.
201.9.47.165	Telemar Norte Leste S.A.
202.109.241.84	The data communication office of Xiamen
202.155.211.129	Wharf T&T Limited
202.176.123.129	True Internet Co., Ltd.
202.201.249.14	Tsinghua University
202.201.249.155	Tsinghua University
202.201.249.161	Tsinghua University
202.201.249.18	Tsinghua University
202.201.249.202	Tsinghua University
202.201.249.206	Tsinghua University
202.201.249.222	Tsinghua University
202.201.249.223	Tsinghua University
202.201.249.227	Tsinghua University
202.201.249.234	Tsinghua University
202.201.249.237	Tsinghua University
202.201.249.47	Tsinghua University
202.201.250.117	Tsinghua University
202.201.250.7	Tsinghua University
202.46.200.172	Pan India Network Infravest Pvt. Ltd.
202.73.108.168	PT. Broadband Multimedia, Tbk
